Sample	Station	Depth	Fraction	Extract	lat	long	Ocean	Sub_ocean	Long_prov	Dataset	Layer	Layer2	Leg	Date	Notes	Temp	Cond	Ox_v	Fluo	PAR	SPAR	Turb	Batt	Sal	Ox_mL_L
MD28	1	3	Pico	DNA	35.135	-9.517	AO	NAO	NASE	Surface	Surface	Photic	1	16/12/2010	NA	18.452	4.8189	2.7816	0.078208	25.774	115.59	0.084	0.0297	36.559	5.0536
MD40	2	3	Pico	DNA	34.001	-12.781	AO	NAO	NASE	Surface	Surface	Photic	1	17/12/2010	NA	18.779	4.8375	2.7786	0.073612	75.061	287.59	0.065	0.0037	36.427	5.0327
MD52	3	3	Pico	DNA	29.683	-17.288	AO	NAO	NASE	Surface	Surface	Photic	1	19/12/2010	NA	20.915	5.1253	2.7893	0.042319	0.50536	4.1281	0.08	0.0518	36.94	4.8571
MD60	4	3	Pico	DNA	28.702	-18.871	AO	NAO	NASE	Surface	Surface	Photic	1	20/12/2010	NA	21.408	5.1884	2.7713	0.050346	0.35003	4.1281	0.049	0.1856	37.021	4.7683
MD64	5	3	Pico	DNA	24.972	-21.053	AO	NAO	NATR	Surface	Surface	Photic	1	21/12/2010	Data taken from ship data	23.21	5.3765	NA	0.04	NA	NA	NA	NA	36.95	NA
D66	6	3	Pico	DNA	23.274	-22.222	AO	NAO	NATR	Vertical_DNA	Surface	Photic	1	22/12/2010	NA	23.433	5.4147	2.7781	0.060072	0.67373	4.1281	0.054	0.1651	37.079	4.6318
R66	6	3	Pico	RNA	23.274	-22.222	AO	NAO	NATR	Vertical_RNA	Surface	Photic	1	22/12/2010	NA	23.433	5.4147	2.7781	0.060072	0.67373	4.1281	0.054	0.1651	37.079	4.6318
D80	6	88	Pico	DNA	23.274	-22.222	AO	NAO	NATR	Vertical_DNA	DCM	Photic	1	22/12/2010	DCM	21.494	5.1894	2.6968	0.15152	0.002246	4.1281	0.061	0.1775	36.925	4.6265
R80	6	88	Pico	RNA	23.274	-22.222	AO	NAO	NATR	Vertical_RNA	DCM	Photic	1	22/12/2010	DCM	21.494	5.1894	2.6968	0.15152	0.002246	4.1281	0.061	0.1775	36.925	4.6265
D78	6	430	Pico	DNA	23.274	-22.222	AO	NAO	NATR	Vertical_DNA	Mesopelagic	Aphotic	1	22/12/2010	DSL	13.12	4.2095	1.8483	0.02023	1.00E-12	1074.8	0.029	0.1549	35.782	3.4847
R78	6	430	Pico	RNA	23.274	-22.222	AO	NAO	NATR	Vertical_RNA	Mesopelagic	Aphotic	1	22/12/2010	DSL	13.12	4.2095	1.8483	0.02023	1.00E-12	1074.8	0.029	0.1549	35.782	3.4847
D76	6	700	Pico	DNA	23.274	-22.222	AO	NAO	NATR	Vertical_DNA	Mesopelagic	Aphotic	1	22/12/2010	Min O2	9.5628	3.8305	1.4144	0.022031	1.00E-12	1151.5	0.029	0.1538	35.326	2.6083
R76	6	700	Pico	RNA	23.274	-22.222	AO	NAO	NATR	Vertical_RNA	Mesopelagic	Aphotic	1	22/12/2010	Min O2	9.5628	3.8305	1.4144	0.022031	1.00E-12	1151.5	0.029	0.1538	35.326	2.6083
D74	6	970	Pico	DNA	23.274	-22.222	AO	NAO	NATR	Vertical_DNA	Mesopelagic	Aphotic	1	22/12/2010	Min Sal	7.3907	3.6249	1.5198	0.021729	1.00E-12	373.8	0.028	0.1526	35.187	3.1614
R74	6	970	Pico	RNA	23.274	-22.222	AO	NAO	NATR	Vertical_RNA	Mesopelagic	Aphotic	1	22/12/2010	Min Sal	7.3907	3.6249	1.5198	0.021729	1.00E-12	373.8	0.028	0.1526	35.187	3.1614
D72	6	1250	Pico	DNA	23.274	-22.222	AO	NAO	NATR	Vertical_DNA	Bathypelagic	Aphotic	1	22/12/2010	Max Sal	6.5925	3.5727	1.7294	0.021549	1.00E-12	422.26	0.028	0.15	35.294	4.0382
R72	6	1250	Pico	RNA	23.274	-22.222	AO	NAO	NATR	Vertical_RNA	Bathypelagic	Aphotic	1	22/12/2010	Max Sal	6.5925	3.5727	1.7294	0.021549	1.00E-12	422.26	0.028	0.15	35.294	4.0382
R68	6	4000	Pico	RNA	23.274	-22.222	AO	NAO	NATR	Vertical_RNA	Bathypelagic	Aphotic	1	22/12/2010	NA	2.3562	3.2621	1.5318	0.021294	1.00E-12	4.1281	0.022	0.1496	34.894	5.3728
MD98	7	3	Pico	DNA	21.45	-23.455	AO	NAO	NATR	Surface	Surface	Photic	1	23/12/2010	NA	24.832	5.5593	2.7673	0.033826	808.9	1946.4	0.058	0.2653	37.017	4.5116
MD111	9	3	Pico	DNA	16.164	-26.026	AO	NAO	NATR	Surface	Surface	Photic	1	25/12/2010	NA	26.52	5.6621	2.7613	0.028927	1034	3055.3	0.534	0.194	36.414	4.3898
MD141	10	3	Pico	DNA	14.52	-26	AO	NAO	NATR	Surface	Surface	Photic	1	26/12/2010	NA	26.247	5.6225	2.7483	0.028258	919.67	2553.7	0.065	0.1546	36.341	4.3889
MD196	12	3	Pico	DNA	9.564	-25.993	AO	NAO	WTRA	Surface	Surface	Photic	1	28/12/2010	NA	27.377	5.6235	2.7437	0.049591	78.712	366.84	0.056	0.1797	35.472	4.32
MD202	13	3	Pico	DNA	7.324	-25.996	AO	NAO	WTRA	Surface	Surface	Photic	1	29/12/2010	NA	27.796	5.6602	2.7549	0.0522	31.256	158.41	0.073	0.1975	35.415	4.3172
MD214	14	3	Pico	DNA	4.989	-26.005	AO	NAO	WTRA	Surface	Surface	Photic	1	30/12/2010	NA	28.045	5.706	2.7555	0.059531	128.22	907.54	0.157	0.5988	35.549	4.2955
MD254	15	3	Pico	DNA	2.457	-26.009	AO	NAO	WTRA	Surface	Surface	Photic	1	31/12/2010	NA	27.587	5.6771	2.7538	0.050512	225.08	1498.7	0.06	0.3323	35.693	4.3239
MD266	17	3	Pico	DNA	-3.03	-27.326	AO	NAO	WTRA	Surface	Surface	Photic	1	02/01/2011	NA	27.491	5.7338	2.7517	0.033352	416.07	1700.2	0.074	0.2565	36.169	4.3138
MD285	18	3	Pico	DNA	-4.779	-28.169	AO	NAO	WTRA	Surface	Surface	Photic	1	03/01/2011	NA	27.268	5.7316	2.757	0.031678	116.97	1951.1	0.049	0.2552	36.327	4.3337
D271	18	3	Pico	DNA	-4.779	-28.169	AO	NAO	WTRA	Vertical_DNA	Surface	Photic	1	03/01/2011	NA	27.268	5.7316	2.757	0.031678	116.97	1951.1	0.049	0.2552	36.327	4.3337
R271	18	3	Pico	RNA	-4.779	-28.169	AO	NAO	WTRA	Vertical_RNA	Surface	Photic	1	03/01/2011	NA	27.268	5.7316	2.757	0.031678	116.97	1951.1	0.049	0.2552	36.327	4.3337
D281	18	80	Pico	DNA	-4.779	-28.169	AO	NAO	WTRA	Vertical_DNA	DCM	Photic	1	03/01/2011	NA	26.324	5.6234	2.7408	0.082678	12.62	1612.1	0.049	0.2522	36.263	4.4103
R281	18	80	Pico	RNA	-4.779	-28.169	AO	NAO	WTRA	Vertical_RNA	DCM	Photic	1	03/01/2011	NA	26.324	5.6234	2.7408	0.082678	12.62	1612.1	0.049	0.2522	36.263	4.4103
D283	18	110	Pico	DNA	-4.779	-28.169	AO	NAO	WTRA	Vertical_DNA	DCM	Photic	1	03/01/2011	DCM+10	21.211	5.0901	2.0527	0.14953	1.1688	635.93	0.045	0.2449	36.362	3.3309
R283	18	110	Pico	RNA	-4.779	-28.169	AO	NAO	WTRA	Vertical_RNA	DCM	Photic	1	03/01/2011	DCM+10	21.211	5.0901	2.0527	0.14953	1.1688	635.93	0.045	0.2449	36.362	3.3309
D279	18	450	Pico	DNA	-4.779	-28.169	AO	NAO	WTRA	Vertical_DNA	Mesopelagic	Aphotic	1	03/01/2011	NA	7.7298	3.5867	1.218	0.022989	1.00E-12	1871.5	0.026	0.217	34.68	2.0588
R279	18	450	Pico	RNA	-4.779	-28.169	AO	NAO	WTRA	Vertical_RNA	Mesopelagic	Aphotic	1	03/01/2011	NA	7.7298	3.5867	1.218	0.022989	1.00E-12	1871.5	0.026	0.217	34.68	2.0588
D277	18	800	Pico	DNA	-4.779	-28.169	AO	NAO	WTRA	Vertical_DNA	Mesopelagic	Aphotic	1	03/01/2011	Min O2	4.9351	3.3306	1.503	0.02181	1.00E-12	1771.3	0.024	0.2125	34.481	3.2363
R277	18	800	Pico	RNA	-4.779	-28.169	AO	NAO	WTRA	Vertical_RNA	Mesopelagic	Aphotic	1	03/01/2011	Min O2	4.9351	3.3306	1.503	0.02181	1.00E-12	1771.3	0.024	0.2125	34.481	3.2363
D275	18	1700	Pico	DNA	-4.779	-28.169	AO	NAO	WTRA	Vertical_DNA	Bathypelagic	Aphotic	1	03/01/2011	Min Sal	4.0193	3.3288	1.8946	0.020757	1.00E-12	1489.2	0.021	0.207	34.97	5.1784
R275	18	1700	Pico	RNA	-4.779	-28.169	AO	NAO	WTRA	Vertical_RNA	Bathypelagic	Aphotic	1	03/01/2011	Min Sal	4.0193	3.3288	1.8946	0.020757	1.00E-12	1489.2	0.021	0.207	34.97	5.1784
D273	18	4000	Pico	DNA	-4.779	-28.169	AO	NAO	WTRA	Vertical_DNA	Bathypelagic	Aphotic	1	03/01/2011	Max O2	2.0103	3.229	1.5408	0.02056	1.00E-12	99.665	0.019	-9.99E-29	34.86	5.4616
R273	18	4000	Pico	RNA	-4.779	-28.169	AO	NAO	WTRA	Vertical_RNA	Bathypelagic	Aphotic	1	03/01/2011	Max O2	2.0103	3.229	1.5408	0.02056	1.00E-12	99.665	0.019	-9.99E-29	34.86	5.4616
MD311	19	3	Pico	DNA	-7.283	-29.322	AO	SAO	SATL	Surface	Surface	Photic	1	04/01/2011	NA	27.109	5.7353	2.7484	0.02566	340.14	1398.4	0.044	0.2462	36.478	4.3259
MD346	22	3	Pico	DNA	-13.736	-32.376	AO	SAO	SATL	Surface	Surface	Photic	1	07/01/2011	NA	26.964	5.8122	2.7569	0.022641	296.44	1372.3	0.044	0.248	37.146	4.3346
MD366	23	3	Pico	DNA	-15.831	-33.403	AO	SAO	SATL	Surface	Surface	Photic	1	08/01/2011	NA	27.329	5.8668	2.7534	0.024657	402.33	2030	0.052	0.262	37.247	4.3007
MD389	24	3	Pico	DNA	-18.424	-34.644	AO	SAO	SATL	Surface	Surface	Photic	1	09/01/2011	NA	27.203	5.8513	2.7621	0.032458	173.6	657.26	0.043	0.2679	37.237	4.3312
MD417	25	3	Pico	DNA	-21.093	-35.972	AO	SAO	SATL	Surface	Surface	Photic	1	10/01/2011	NA	26.883	5.782	2.7694	0.026468	971.48	2356.2	0.066	0.2829	36.993	4.374
MD439	26	3	Pico	DNA	-22.955	-36.925	AO	SAO	SATL	Surface	Surface	Photic	1	11/01/2011	NA	26.461	5.6929	2.7458	0.030573	203.34	779.89	0.043	0.2792	36.684	4.3614
MD458	27	3	Pico	DNA	-24.315	-36.222	AO	SAO	SATL	Surface	Surface	Photic	2	19/01/2011	NA	26.563	5.6825	2.7367	0.027699	478.89	1525.4	0.044	0.1829	36.528	4.334
MD486	28	3	Pico	DNA	-24.792	-33.476	AO	SAO	SATL	Surface	Surface	Photic	2	20/01/2011	NA	26.665	5.7075	2.7468	0.031289	117.07	541.77	0.043	0.1819	36.628	4.3494
MD506	29	3	Pico	DNA	-25.427	-30.07	AO	SAO	SATL	Surface	Surface	Photic	2	21/01/2011	NA	25.638	5.5901	2.7593	0.016703	577.33	2495.6	0.049	0.203	36.59	4.4481
MD528	30	3	Pico	DNA	-25.868	-27.567	AO	SAO	SATL	Surface	Surface	Photic	2	22/01/2011	NA	25.191	5.5295	2.7642	0.032179	142.26	638.73	0.064	0.2119	36.501	4.491
D514	30	3	Pico	DNA	-25.868	-27.567	AO	SAO	SATL	Vertical_DNA	Surface	Photic	2	22/01/2011	NA	25.191	5.5295	2.7642	0.032179	142.26	638.73	0.064	0.2119	36.501	4.491
R514	30	3	Pico	RNA	-25.868	-27.567	AO	SAO	SATL	Vertical_RNA	Surface	Photic	2	22/01/2011	NA	25.191	5.5295	2.7642	0.032179	142.26	638.73	0.064	0.2119	36.501	4.491
D526	30	130	Pico	DNA	-25.868	-27.567	AO	SAO	SATL	Vertical_DNA	DCM	Photic	2	22/01/2011	DCM	19.279	4.8692	2.6528	0.11321	1.9387	2609.2	0.032	0.1881	36.207	4.802
R526	30	130	Pico	RNA	-25.868	-27.567	AO	SAO	SATL	Vertical_RNA	DCM	Photic	2	22/01/2011	DCM	19.279	4.8692	2.6528	0.11321	1.9387	2609.2	0.032	0.1881	36.207	4.802
