name	LWR	fract	aLWR	afract	taxopath
ASV_14277	0.9703	0.9703	0.9703	0.9703	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_15904	0.9837	0.9839	0.9837	0.9839	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_21028	0.998	0.998	0.998	0.998	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_13774	0.9598	0.9598	0.9598	0.9598	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_23116	0.9841	0.9842	0.9841	0.9842	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_23850	0.9864	0.9864	0.9864	0.9864	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_22036	0.9995	0.9996	0.9995	0.9996	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_18887	0.9947	1	0.9947	1	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_12435	0.9932	0.994	0.9932	0.994	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_23880	0.992	1	0.992	1	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_22674	0.8786	0.8786	0.8787	0.8787	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_20821	0.9657	0.9657	0.9657	0.9657	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_14346	0.9898	0.9898	0.9898	0.9898	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_24046	0.9766	0.9766	0.9872	0.9872	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_22863	0.9122	0.9122	0.9123	0.9123	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_22653	0.9867	0.9868	0.9867	0.9868	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_20437	0.9985	0.9993	0.9985	0.9993	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_24980	0.9726	0.9726	0.9987	0.9987	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_21819	0.9925	1	0.9925	1	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_20264	0.9782	0.9977	0.9782	0.9977	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_22831	0.8503	0.8505	0.8504	0.8506	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_11745	0.5713	0.5713	0.9892	0.9892	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_23876	0.9039	0.9039	0.9039	0.9039	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_23877	0.9949	0.9991	0.9949	0.9991	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_20066	0.9922	1	0.9922	1	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_23903	0.9942	1	0.9942	1	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_22264	0.9936	0.9984	0.9936	0.9984	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_12639	0.9927	1	0.9927	1	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_24047	0.9874	1	0.9874	1	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_23141	0.9906	0.9931	0.9906	0.9931	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_23158	0.9988	0.9988	0.9988	0.9988	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_20472	0.9713	0.9784	0.9713	0.9784	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
ASV_18886	0.9798	0.9804	0.9798	0.9804	Eukaryota;SAR;Alveolata;Perkinsea;Xcellidae
