Bin,Start,End,Range,"Value 1","Value 2","Value 3","Value 4","Value 5","Percentage 1","Percentage 2","Percentage 3","Percentage 4","Percentage 5","Accumulated Value 1","Accumulated Value 2","Accumulated Value 3","Accumulated Value 4","Accumulated Value 5","Accumulated Percentage 1","Accumulated Percentage 2","Accumulated Percentage 3","Accumulated Percentage 4","Accumulated Percentage 5"
0,0,0.04,"[0, 0.04)",0,0,15,97,109,0,0,0.0357143,0.281977,0.411321,0,0,15,97,109,0,0,0.0357143,0.281977,0.411321
1,0.04,0.08,"[0.04, 0.08)",0,1,37,86,96,0,0.00233645,0.0880952,0.25,0.362264,0,1,52,183,205,0,0.00233645,0.12381,0.531977,0.773585
2,0.08,0.12,"[0.08, 0.12)",0,15,70,85,42,0,0.0350467,0.166667,0.247093,0.158491,0,16,122,268,247,0,0.0373832,0.290476,0.77907,0.932075
3,0.12,0.16,"[0.12, 0.16)",2,35,111,51,16,0.0046729,0.0817757,0.264286,0.148256,0.0603774,2,51,233,319,263,0.0046729,0.119159,0.554762,0.927326,0.992453
4,0.16,0.2,"[0.16, 0.2)",3,62,82,19,2,0.00700935,0.14486,0.195238,0.0552326,0.00754717,5,113,315,338,265,0.0116822,0.264019,0.75,0.982558,1
5,0.2,0.24,"[0.2, 0.24)",13,64,58,6,0,0.0303738,0.149533,0.138095,0.0174419,0,18,177,373,344,265,0.0420561,0.413551,0.888095,1,1
6,0.24,0.28,"[0.24, 0.28)",15,53,22,0,0,0.0350467,0.123832,0.052381,0,0,33,230,395,344,265,0.0771028,0.537383,0.940476,1,1
7,0.28,0.32,"[0.28, 0.32)",29,66,13,0,0,0.067757,0.154206,0.0309524,0,0,62,296,408,344,265,0.14486,0.691589,0.971429,1,1
8,0.32,0.36,"[0.32, 0.36)",55,43,12,0,0,0.128505,0.100467,0.0285714,0,0,117,339,420,344,265,0.273364,0.792056,1,1,1
9,0.36,0.4,"[0.36, 0.4)",58,38,0,0,0,0.135514,0.088785,0,0,0,175,377,420,344,265,0.408879,0.880841,1,1,1
10,0.4,0.44,"[0.4, 0.44)",48,28,0,0,0,0.11215,0.0654206,0,0,0,223,405,420,344,265,0.521028,0.946262,1,1,1
11,0.44,0.48,"[0.44, 0.48)",55,19,0,0,0,0.128505,0.0443925,0,0,0,278,424,420,344,265,0.649533,0.990654,1,1,1
12,0.48,0.52,"[0.48, 0.52)",42,4,0,0,0,0.0981308,0.00934579,0,0,0,320,428,420,344,265,0.747664,1,1,1,1
13,0.52,0.56,"[0.52, 0.56)",38,0,0,0,0,0.088785,0,0,0,0,358,428,420,344,265,0.836449,1,1,1,1
14,0.56,0.6,"[0.56, 0.6)",12,0,0,0,0,0.0280374,0,0,0,0,370,428,420,344,265,0.864486,1,1,1,1
15,0.6,0.64,"[0.6, 0.64)",25,0,0,0,0,0.0584112,0,0,0,0,395,428,420,344,265,0.922897,1,1,1,1
16,0.64,0.68,"[0.64, 0.68)",30,0,0,0,0,0.0700935,0,0,0,0,425,428,420,344,265,0.992991,1,1,1,1
17,0.68,0.72,"[0.68, 0.72)",3,0,0,0,0,0.00700935,0,0,0,0,428,428,420,344,265,1,1,1,1,1
18,0.72,0.76,"[0.72, 0.76)",0,0,0,0,0,0,0,0,0,0,428,428,420,344,265,1,1,1,1,1
19,0.76,0.8,"[0.76, 0.8)",0,0,0,0,0,0,0,0,0,0,428,428,420,344,265,1,1,1,1,1
20,0.8,0.84,"[0.8, 0.84)",0,0,0,0,0,0,0,0,0,0,428,428,420,344,265,1,1,1,1,1
21,0.84,0.88,"[0.84, 0.88)",0,0,0,0,0,0,0,0,0,0,428,428,420,344,265,1,1,1,1,1
22,0.88,0.92,"[0.88, 0.92)",0,0,0,0,0,0,0,0,0,0,428,428,420,344,265,1,1,1,1,1
23,0.92,0.96,"[0.92, 0.96)",0,0,0,0,0,0,0,0,0,0,428,428,420,344,265,1,1,1,1,1
24,0.96,1,"[0.96, 1)",0,0,0,0,0,0,0,0,0,0,428,428,420,344,265,1,1,1,1,1
