Sample,Pquery,Multiplicity,"LWR 1","LWR 2","LWR 3","LWR 4","LWR 5"
epa_result,8aa95fc175eff147106661562d46445284d76c1e;size=175,1,0.546328,0.165714,0.140407,0.0547665,0.0440347
epa_result,5bde025bcf690ae39c34ce121049b2f07400c933;size=18,1,0.603655,0.258022,0.038334,0.0307099,0.0193419
epa_result,8a77bb138dfffc8ce103638bae7a24251906172c;size=49,1,0.220339,0.210798,0.210149,0.131703,0.131541
epa_result,2632e1df0a35a009ca06241e88f6571afcc297de;size=25,1,0.358763,0.164345,0.125387,0.119731,0.118213
epa_result,9e5346e6159c71ec547d50e81996320f53d672a6;size=271,1,0.20813,0.207172,0.195508,0.133625,0.132139
epa_result,1051d240e082ee3abd2d01387f55a3ef5ab2a1c9;size=42,1,0.419573,0.113546,0.113349,0.0871181,0.0850289
epa_result,ee3f0d48c0e73bc5d47ffa7b1fdc2b3876847c6e;size=176,1,0.551127,0.247008,0.157433,0.0220409,0.0219687
epa_result,274a5ba3600973f92abfdc200e87f3b3dbdad14e;size=21,1,0.464748,0.306013,0.139765,0.0226889,0.0142364
epa_result,505ca3ddc3c666e001c64f3f71cbb1dd3dbf9b86;size=818,1,0.25799,0.179175,0.174576,0.102768,0.101638
epa_result,816685f4d238fb3ecb01b29c809eeff606c567be;size=570,1,0.689149,0.146045,0.145911,0.0188748,0
epa_result,45c8ae624737be572603012f89625e3ed4b03949;size=320,1,0.549761,0.18209,0.0783787,0.0782594,0.0485528
epa_result,5faebba3f6aa9994ab89a8d3ee517c7204eef0eb;size=563,1,0.497616,0.229735,0.190095,0.0288811,0.0286134
epa_result,2f74f204bd766fadfbf34c0912f9d9f73e3046f5;size=10,1,0.375941,0.14656,0.134486,0.134129,0.11051
epa_result,e823fb81d263ce8786e75badb0f0f44bc52e5e6e;size=287,1,0.460373,0.166673,0.153153,0.145938,0.0604304
epa_result,917f8e4d42497b62d8894773aaf4e1f78033eb04;size=292,1,0.453502,0.377847,0.165604,0,0
epa_result,642d6d45bc1d6b1a0e5cf9a70b83caeb0b778b3c;size=18,1,0.5016,0.498352,0,0,0
epa_result,e353d373bf2b7eeae70bdf391afa46ec77a299a6;size=42,1,0.643826,0.178215,0.177948,0,0
epa_result,e1feb63213dca664d7d1b14d97877930a5d6b3ee;size=20,1,0.345425,0.183076,0.182816,0.163196,0.0918867
epa_result,7608bd188f994f14eb8f9bd9bf223dfe6e391e5d;size=959,1,0.405855,0.405613,0.167015,0.0108859,0.0106217
epa_result,862fcbccd4fdbf868fbf8e1e1f8b6692e1acde1e;size=49,1,0.384883,0.383884,0.216118,0,0
epa_result,cdf5465bf98f09ec8fa510c35f65b3172b9b6caf;size=13,1,0.43133,0.429029,0.103271,0.0183395,0.0178165
epa_result,2cab0e1a84161ef0aa3ba4a4979deee271d15b0e;size=14,1,0.454095,0.165288,0.143754,0.133293,0.0605631
epa_result,78d4b38e66a3167d8f4a27d53c25835a934b527e;size=130,1,0.411156,0.410714,0.143084,0.0136928,0.0133676
epa_result,46ca3819d725c14b32f527cec04d2dc48342d9ff;size=13,1,0.450824,0.254218,0.1312,0.130876,0.0156029
epa_result,5a6563eb1a4f33b5ca9eeabb8249481789dec07f;size=237,1,0.509354,0.338719,0.113256,0.0124423,0.0116983
epa_result,132bd78aaf1b823d9ee02c431458be72e560bf47;size=693,1,0.375671,0.375112,0.229266,0.0100704,0
epa_result,743f123a30a0ba254bc2e83c21c1dbdd7a3ae1d6;size=136,1,0.536401,0.201702,0.115117,0.114823,0.0132431
epa_result,2362b3add85a925c97e405e3adf2f6bcec062882;size=232,1,0.647823,0.220869,0.130026,0,0
epa_result,64ae9637fc5999fe1b861c3c9294b0c8250a6e61;size=34,1,0.534034,0.173088,0.0979677,0.0702639,0.0611387
epa_result,d61c169096e3f2ce581b2949e6dbbea5cc4a3138;size=153,1,0.219293,0.16657,0.160959,0.0937332,0.0863193
epa_result,a78daf64e2cb0246529a465248eda11e1bf6a9cd;size=12,1,0.386977,0.256868,0.225717,0.0523258,0.0409899
epa_result,a22779516cfd0fc69fd7f52da2fceaa29c6eb4ec;size=59,1,0.323313,0.319528,0.178966,0.0373541,0.0256799
epa_result,6fae17392f1d5a0b34531a932d38b3ad4dc2219c;size=209,1,0.482505,0.157216,0.11883,0.0502165,0.0466811
