name	LWR	fract	aLWR	afract	taxopath
8aa95fc175eff147106661562d46445284d76c1e;size=175	0.8715	0.8769	0.8715	0.8769	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence
5bde025bcf690ae39c34ce121049b2f07400c933;size=18	0.7988	0.8163	0.887	0.9064	Eukaryota;SAR;Alveolata;Perkinsea
8a77bb138dfffc8ce103638bae7a24251906172c;size=49	0.5299	0.5342	0.5299	0.5342	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence
2632e1df0a35a009ca06241e88f6571afcc297de;size=25	0.5678	0.5722	0.734	0.7396	Eukaryota;SAR;Alveolata;Perkinsea;NAG01
9e5346e6159c71ec547d50e81996320f53d672a6;size=271	0.4893	0.5187	0.4893	0.5187	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence
1051d240e082ee3abd2d01387f55a3ef5ab2a1c9;size=42	0.4581	0.5202	0.7868	0.8934	Eukaryota;SAR;Alveolata;Perkinsea
ee3f0d48c0e73bc5d47ffa7b1fdc2b3876847c6e;size=176	0.6892	0.6895	0.9781	0.9786	Eukaryota;SAR;Alveolata;Perkinsea;NAG01
274a5ba3600973f92abfdc200e87f3b3dbdad14e;size=21	0.7088	0.7265	0.8969	0.9193	Eukaryota;SAR;Alveolata;Perkinsea
505ca3ddc3c666e001c64f3f71cbb1dd3dbf9b86;size=818	0.7112	0.7509	0.7112	0.7509	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence
816685f4d238fb3ecb01b29c809eeff606c567be;size=570	0.9755	0.9755	0.9755	0.9755	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence
45c8ae624737be572603012f89625e3ed4b03949;size=320	0.6567	0.667	0.8803	0.8941	Eukaryota;SAR;Alveolata;Perkinsea
5faebba3f6aa9994ab89a8d3ee517c7204eef0eb;size=563	0.9054	0.9157	0.9054	0.9157	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence
2f74f204bd766fadfbf34c0912f9d9f73e3046f5;size=10	0.5958	0.5963	0.7699	0.7706	Eukaryota;SAR;Alveolata;Perkinsea;NAG01
e823fb81d263ce8786e75badb0f0f44bc52e5e6e;size=287	0.6349	0.6358	0.8482	0.8495	Eukaryota;SAR;Alveolata;Perkinsea;NAG01
917f8e4d42497b62d8894773aaf4e1f78033eb04;size=292	0.884	0.8867	0.945	0.9479	Eukaryota;SAR;Alveolata;Perkinsea
642d6d45bc1d6b1a0e5cf9a70b83caeb0b778b3c;size=18	0.9712	0.9713	0.9712	0.9713	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence
e353d373bf2b7eeae70bdf391afa46ec77a299a6;size=42	0.9763	0.9763	0.9763	0.9763	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence
e1feb63213dca664d7d1b14d97877930a5d6b3ee;size=20	0.69	0.6961	0.6901	0.6961	Eukaryota;SAR;Alveolata;Perkinsea;NAG01
7608bd188f994f14eb8f9bd9bf223dfe6e391e5d;size=959	0.9787	0.9787	0.9788	0.9788	Eukaryota;SAR;Alveolata;Perkinsea;NAG01
862fcbccd4fdbf868fbf8e1e1f8b6692e1acde1e;size=49	0.9631	0.9779	0.9632	0.9779	Eukaryota;SAR;Alveolata;Perkinsea;NAG01
cdf5465bf98f09ec8fa510c35f65b3172b9b6caf;size=13	0.9821	0.9823	0.9822	0.9824	Eukaryota;SAR;Alveolata;Perkinsea;NAG01
2cab0e1a84161ef0aa3ba4a4979deee271d15b0e;size=14	0.6131	0.6178	0.859	0.8655	Eukaryota;SAR;Alveolata;Perkinsea;NAG01
78d4b38e66a3167d8f4a27d53c25835a934b527e;size=130	0.9676	0.9754	0.9677	0.9755	Eukaryota;SAR;Alveolata;Perkinsea;NAG01
46ca3819d725c14b32f527cec04d2dc48342d9ff;size=13	0.5971	0.5981	0.9288	0.9304	Eukaryota;SAR;Alveolata;Perkinsea
5a6563eb1a4f33b5ca9eeabb8249481789dec07f;size=237	0.7045	0.7067	0.9529	0.9559	Eukaryota;SAR;Alveolata;Perkinsea;NAG01
132bd78aaf1b823d9ee02c431458be72e560bf47;size=693	0.9668	0.9765	0.9669	0.9766	Eukaryota;SAR;Alveolata;Perkinsea;NAG01
743f123a30a0ba254bc2e83c21c1dbdd7a3ae1d6;size=136	0.5878	0.591	0.921	0.9261	Eukaryota;SAR;Alveolata;Perkinsea
2362b3add85a925c97e405e3adf2f6bcec062882;size=232	0.6112	0.612	0.9808	0.9821	Eukaryota;SAR;Alveolata;Perkinsea
64ae9637fc5999fe1b861c3c9294b0c8250a6e61;size=34	0.7929	0.7929	0.9477	0.9477	Eukaryota;SAR;Alveolata;Perkinsea
d61c169096e3f2ce581b2949e6dbbea5cc4a3138;size=153	0.761	0.9174	0.7611	0.9174	Eukaryota;SAR;Alveolata;Perkinsea
a78daf64e2cb0246529a465248eda11e1bf6a9cd;size=12	0.5933	0.5954	0.9216	0.925	Eukaryota;SAR;Alveolata;Perkinsea
a22779516cfd0fc69fd7f52da2fceaa29c6eb4ec;size=59	0.7817	0.8436	0.8922	0.9628	Eukaryota;SAR;Alveolata;Perkinsea
6fae17392f1d5a0b34531a932d38b3ad4dc2219c;size=209	0.8573	0.946	0.8803	0.9714	Eukaryota;SAR;Alveolata;Perkinsea
22ad0440cbee1b7b9b7ea270c9443361f4fc0434;size=99	0.7441	0.795	0.9081	0.9701	Eukaryota;SAR;Alveolata;Perkinsea
a9632e81948668d79830d7240ef1367f8aecbd45;size=103	0.7681	0.8645	0.8618	0.9699	Eukaryota;SAR;Alveolata;Perkinsea
1e8be3fa8da58ff9bfd1ad4e72ffe69f98896d8f;size=31	0.8251	0.8479	0.9631	0.9897	Eukaryota;SAR;Alveolata;Perkinsea
9042ff62c315143f98d82b0b2483da272cb8a5e8;size=10	0.8234	0.8515	0.9569	0.9895	Eukaryota;SAR;Alveolata;Perkinsea
446a2b6f8fa8f97c4a06bf6ae5895a388c276f90;size=59	0.6455	0.6545	0.9459	0.9591	Eukaryota;SAR;Alveolata;Perkinsea
892dedc0e31e8e33900196d682d437ff463e7ec6;size=19	0.8221	0.8909	0.898	0.9732	Eukaryota;SAR;Alveolata;Perkinsea
e60f4465b1fabddcc1f524bf96f2d33f25c8c2ce;size=43	0.8179	0.8409	0.9643	0.9914	Eukaryota;SAR;Alveolata;Perkinsea
1efa804760d46214f8a8f55730ba5fb5e42461a5;size=21	0.9142	0.9462	0.9316	0.9641	Eukaryota;SAR;Alveolata;Perkinsea
9cc1b4bdd8b9dc348003aed8e8419e94d7926d7c;size=11	0.8482	0.8589	0.976	0.9883	Eukaryota;SAR;Alveolata;Perkinsea
085dddfd7cc905ca5f9eb66d44cb743e74ffed55;size=11	0.8554	0.9038	0.9288	0.9814	Eukaryota;SAR;Alveolata;Perkinsea
46daedbb558e98665117f166a5fe90344765627f;size=85	0.8032	0.8163	0.9826	0.9987	Eukaryota;SAR;Alveolata;Perkinsea
f2a5affc79c9ef8263609e46f023825b7fd7c197;size=33	0.8204	0.8428	0.8988	0.9233	Eukaryota;SAR;Alveolata;Perkinsea;PERK01
e5e07fdba41c471e2ae39c6bcc1558cfa7c91c60;size=16	0.7633	0.7822	0.9308	0.9537	Eukaryota;SAR;Alveolata;Perkinsea;PERK01
55f0c374ef49d8100131a0ddf5496716007bb0dd;size=129	0.7723	0.7883	0.9684	0.9885	Eukaryota;SAR;Alveolata;Perkinsea;PERK01
b5c019f8c13dfbdf18f79db58ef13144c70740a1;size=40	0.9333	0.9355	0.9511	0.9534	Eukaryota;SAR;Alveolata;Perkinsea;PERK01
38685082f5d25d2b698333ccfc7af9d9ad9c30a2;size=103	0.6471	0.6501	0.9853	0.9899	Eukaryota;SAR;Alveolata;Perkinsea
20ab7c1b626200408fd8aa477eaf59e1650c237b;size=30	0.9204	0.9211	0.9204	0.9211	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence
2e2f6860ef0c78789ac553299eea0bcbd7bc84bc;size=22	0.8414	0.8527	0.8414	0.8527	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence
0712509f008bff10fcf1fcda17607fc88c6ca0b6;size=61	0.8016	0.802	0.8016	0.802	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence
585cc9653a44581e9d50d59f65f26f176928ef2d;size=13	0.7828	0.7939	0.9374	0.9506	Eukaryota;SAR;Alveolata;Perkinsea;PERK01
049f67a580bb426ab1440bd15bfb23e8edad1e9d;size=14	0.7803	0.8041	0.8541	0.8801	Eukaryota;SAR;Alveolata;Perkinsea;PERK01
e6c7d8e3f532535302581ab9e9da05df442b13f5;size=74	0.479	0.505	0.479	0.505	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence
111708e0c6d5ea987b7d897cfa1245d2257043f5;size=83	0.9074	0.9076	0.9074	0.9076	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence
e114e0836807ff87ad2b2f4406df5184a829a2d2;size=12	0.8069	0.8074	0.8069	0.8074	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence
c04746aab939bc83b8648c7e708505d1b221d11a;size=271	0.7715	0.7856	0.9551	0.9726	Eukaryota;SAR;Alveolata;Perkinsea;PERK01
04fd0c8410393203cb37441b060bec5cf3e21aab;size=124	0.5982	0.6089	0.9529	0.9699	Eukaryota;SAR;Alveolata;Perkinsea;PERK01
caa0d1be61681354f2bab74cb86eb2fcd9a8fecb;size=22	0.6343	0.6406	0.6343	0.6406	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence
50161eb3a9c79391ce2b48468e51153e3d364910;size=19	0.937	0.9416	0.937	0.9416	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence
8c0d335f0e718eebadd45a693dec3885fb451c66;size=14	0.9577	0.9577	0.9577	0.9577	Eukaryota;SAR;Alveolata;Perkinsea;PERK01;Freshwater environmental sequence
19c3ba39ae0ac5e93005557f8004d53063edca8c;size=72	0.711	0.7122	0.9769	0.9786	Eukaryota;SAR;Alveolata;Perkinsea;PERK01
6d8aa95d2f5131351eb8fd2e32d8a6f424755f27;size=31	0.7021	0.8158	0.8474	0.9847	Eukaryota;SAR;Alveolata;Perkinsea
54d7a8a1c69eb8ec2da9e981ecc89e4cf1eb55fa;size=153	0.855	0.8551	0.855	0.8551	Eukaryota;SAR;Alveolata;Perkinsea;PERK01
0e0b75bac57466fd4123047a258fa8fa4725f60c;size=19	0.8107	0.8634	0.9296	0.99	Eukaryota;SAR;Alveolata;Perkinsea
0e39f505083f66b9ba4bc1f5f781ab125f8477d3;size=45	0.9358	0.9563	0.9544	0.9753	Eukaryota;SAR;Alveolata;Perkinsea
e9dd11c9695b50056f8b66e1ce2c5074e56a50d8;size=245	0.8141	0.859	0.9167	0.9673	Eukaryota;SAR;Alveolata;Perkinsea
d49b5dffe269d205d236d1875c41fe76dbc169ac;size=95	0.9494	0.9557	0.9708	0.9772	Eukaryota;SAR;Alveolata;Perkinsea
69bd6ed571482ceb70d8f986a51a3447b0292892;size=119	0.8554	0.8782	0.9398	0.9649	Eukaryota;SAR;Alveolata;Perkinsea
cb40839bb60befdd6a4516c1442d9249d9316bc0;size=10	0.5841	0.7529	0.7506	0.9676	Eukaryota;SAR;Alveolata;Perkinsea
c4da0aeba4e81f27510709bb77faa5af07460a32;size=384	0.9069	0.9069	0.9549	0.9549	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
66224a69ec6f5f3d8bd5c7198bdcdc88883d45d2;size=25	0.9061	0.9194	0.9062	0.9194	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
a54bd3d51a9c9885578c71f3be1228bf48379f5e;size=579	0.8719	0.881	0.9321	0.9418	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
1c34fdf281736217b734c524c096d50d0ef52a80;size=20	0.9336	0.9504	0.9336	0.9504	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
d3a754c6f5a8583734f4632ea35fce2904de7752;size=83	0.8374	0.8374	0.9739	0.9739	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
84235b87c524a0c6376de61675e4a3872c62e4fb;size=1587	0.7231	0.7233	0.9653	0.9655	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
012e131ca47f72f41cf1e1637de84d6fa84c01a2;size=30	0.7805	0.7807	0.9538	0.954	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
d529c2132c45b18cffdcd24fd880e3bda2a61bb2;size=15	0.9098	0.9314	0.9098	0.9314	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
0b7014b2b55e6fd4eaf4d10b7a1a7c5d80563550;size=14	0.9202	0.9203	0.9729	0.9729	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
d4f2887316bfa9b5a0fff9703df7ef8264878bef;size=1607	0.9616	0.9616	0.9634	0.9634	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
b2c61634dc2915fceb406fa91a8a76a582d73751;size=11	0.9753	0.9761	0.9753	0.9761	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
5eed1ce246b76ee21c9a2be98ddfe25d5caeaa99;size=454	0.9928	0.9928	0.9928	0.9928	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
e73b5acaea0348a2d289235e2d40ce2d114ec2d4;size=154	0.9494	0.9515	0.9495	0.9516	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
c0ee05a51c4c7b53c3871a898a1685ceae0232cb;size=15	0.9696	0.9791	0.9696	0.9791	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
850859d78acc3eda25cb282457af71d04f08b09d;size=261	0.98	0.9862	0.98	0.9862	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
5a09367e9587fe528d9cc3b82d108fdee3e28028;size=212	0.7101	0.7125	0.9208	0.9239	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
b4ac521dda3fada3f64dd1aec53b9a60c0c5bbff;size=13	0.9606	0.9608	0.9606	0.9608	Eukaryota;SAR;Alveolata;Perkinsea;PERK02
