project	sample	nasvs	nreads	latitude	longitude	environment	subcategory	subcategory_old
pohem	104	631	34730	48.3098	-4.3828	Marine	Epipelagic zone	marine_epipelagic
pohem	107	941	56788	48.3718	-4.459	Marine	Epipelagic zone	marine_epipelagic
pohem	126	849	19785	48.2704	-4.2647	Marine	Epipelagic zone	marine_epipelagic
pohem	127	964	27371	48.3031	-4.2885	Marine	Epipelagic zone	marine_epipelagic
pohem	129	865	23170	48.3062	-4.407	Marine	Epipelagic zone	marine_epipelagic
pohem	130	1181	46463	48.299	-4.445	Marine	Epipelagic zone	marine_epipelagic
pohem	131	1246	60433	48.3312	-4.5015	Marine	Epipelagic zone	marine_epipelagic
pohem	134	1350	72491	48.3877	-4.4043	Marine	Epipelagic zone	marine_epipelagic
pohem	136	1297	49637	48.355	-4.5025	Marine	Epipelagic zone	marine_epipelagic
pohem	144	1292	46289	47.4167	-2.7	Marine	Epipelagic zone	marine_epipelagic
pohem	154	1132	43289	48.2704	-4.2647	Marine	Epipelagic zone	marine_epipelagic
pohem	155	1149	53437	48.3031	-4.2885	Marine	Epipelagic zone	marine_epipelagic
pohem	156	1172	65993	48.315	-4.3708	Marine	Epipelagic zone	marine_epipelagic
pohem	157	952	28266	48.3062	-4.407	Marine	Epipelagic zone	marine_epipelagic
pohem	158	944	26771	48.299	-4.445	Marine	Epipelagic zone	marine_epipelagic
pohem	159	868	34000	48.3312	-4.5015	Marine	Epipelagic zone	marine_epipelagic
pohem	160	1124	88456	48.3098	-4.3828	Marine	Epipelagic zone	marine_epipelagic
pohem	161	803	37001	48.3962	-4.3758	Marine	Epipelagic zone	marine_epipelagic
pohem	163	1090	53813	48.3718	-4.459	Marine	Epipelagic zone	marine_epipelagic
pohem	164	1094	48450	48.355	-4.5025	Marine	Epipelagic zone	marine_epipelagic
pohem	177	686	18396	47.8332	-3.9387	Marine	Epipelagic zone	marine_epipelagic
pohem	178	990	37564	47.8332	-3.9387	Marine	Epipelagic zone	marine_epipelagic
pohem	179	591	42247	47.8332	-3.9387	Marine	Epipelagic zone	marine_epipelagic
pohem	18	1390	66599	45.61995	-1.4761833	Marine	Epipelagic zone	marine_epipelagic
pohem	184	1288	39671	47.8332	-3.9387	Marine	Epipelagic zone	marine_epipelagic
pohem	185	798	20602	47.8332	-3.9387	Marine	Epipelagic zone	marine_epipelagic
pohem	187	1331	64310	47.8332	-3.9387	Marine	Epipelagic zone	marine_epipelagic
pohem	188	871	28469	47.8332	-3.9387	Marine	Epipelagic zone	marine_epipelagic
pohem	19	1145	64875	45.5556	-1.64045	Marine	Epipelagic zone	marine_epipelagic
pohem	190	580	27236	47.8332	-3.9387	Marine	Epipelagic zone	marine_epipelagic
pohem	192	433	32566	47.8332	-3.9387	Marine	Epipelagic zone	marine_epipelagic
pohem	229	1210	52807	47.8332	-3.9387	Marine	Epipelagic zone	marine_epipelagic
pohem	230	1083	31059	47.8332	-3.9387	Marine	Epipelagic zone	marine_epipelagic
pohem	236	1458	57518	47.8332	-3.9387	Marine	Epipelagic zone	marine_epipelagic
pohem	90	627	34367	47.24949	-2.56928	Marine	Epipelagic zone	marine_epipelagic
pohem	96	868	33623	47.7495	-3.95935	Marine	Epipelagic zone	marine_epipelagic
Austrian_Lakes_Illumina_V4	AL_i_A111AU	1355	713856	NA	NA	Land water	Lake	freshwater_lake
Austrian_Lakes_Illumina_V4	AL_i_A132OS	1154	671716	NA	NA	Land water	Lake	freshwater_lake
Austrian_Lakes_Illumina_V4	AL_i_A152WI	873	497216	NA	NA	Land water	Lake	freshwater_lake
Austrian_Lakes_Illumina_V4	AL_i_N261LU	516	192621	NA	NA	Land water	Lake	freshwater_lake
Austrian_Lakes_Illumina_V4	AL_i_O022TU	861	108896	NA	NA	Land water	Lake	freshwater_lake
Austrian_Lakes_Illumina_V4	AL_i_O241PL	1674	1009434	NA	NA	Land water	Lake	freshwater_lake
Austrian_Lakes_Illumina_V4	AL_i_S022PA	957	412200	NA	NA	Land water	Lake	freshwater_lake
Austrian_Lakes_Illumina_V4	AL_i_S102LR	752	1303512	NA	NA	Land water	Lake	freshwater_lake
Austrian_Lakes_Illumina_V4	AL_i_S271TO	1402	535194	NA	NA	Land water	Lake	freshwater_lake
Austrian_Lakes_Illumina_V4	AL_i_S301MM	1120	1167008	NA	NA	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Augstsee_AU_28	91	7334	47.662778	13.7875	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Augstsee_AU_30	61	4069	47.662778	13.7875	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Augstsee_AU_32	36	90	47.662778	13.7875	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Augstsee_AU_38	56	340	47.662778	13.7875	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Augstsee_AU_40	20	47	47.662778	13.7875	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_16	175	2877	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_18	127	4466	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_22	93	3179	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_24	120	3115	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_26	109	2306	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_28	168	2368	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_29	118	1805	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_32	173	1804	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_34	139	2120	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_36	230	4341	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_38	261	6784	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_40	73	450	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_42	91	576	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_44	61	324	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_46	145	1432	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_48	90	447	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Fuschlsee_FU_50	57	528	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_16	112	1300	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_18	164	1159	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_20	172	1442	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_22	161	1076	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_24	125	884	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_26	148	1275	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_28	131	1092	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_29	147	1235	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_32	135	988	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_34	65	2080	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_36	150	3034	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_38	137	959	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_40	141	1828	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_42	80	1874	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_46	160	1268	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_48	164	1846	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2006_Wallersee_WA_50	173	1447	47.909722	13.179444	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2007_Fuschlsee_Fu16_07	85	2028	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2007_Fuschlsee_Fu25_07	89	985	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2007_Fuschlsee_Fu28_07	124	1537	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2007_Fuschlsee_Fu31_07	157	5350	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2007_Fuschlsee_Fu34_07	135	5396	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2007_Fuschlsee_Fu37_07	155	3918	47.805833	13.255556	Land water	Lake	freshwater_lake
PRJNA384347	Austria_Seasonal_2007_Fuschlsee_Fu40_07	91	1033	47.805833	13.255556	Land water	Lake	freshwater_lake
Neotropical_lowland_forests	B031_B032	138	639183	9.153381477	-79.83983517	Soil	Tropical soil	soil_tropical
Neotropical_lowland_forests	B081_B082	558	673091	9.144239266	-79.85565311	Soil	Tropical soil	soil_tropical
Neotropical_lowland_forests	B100	673	586010	9.142874188	-79.84580686	Soil	Tropical soil	soil_tropical
Tara_Oceans	BZM_AAEBOSTA_1_1_HYN2WBCX2.12BA013	2212	448106	19.0351	64.5638	Marine	Mesopelagic zone	marine_mesopelagic
Tara_Oceans	BZM_AAEDOSTA_1_1_HYN2WBCX2.12BA037	8069	386448	36.5103	-3.9747	Marine	Epipelagic zone	marine_epipelagic
Tara_Oceans	BZM_AAEJOSTA_1_1_HYN2WBCX2.12BA014	2120	488689	18.7341	66.3896	Marine	Mesopelagic zone	marine_mesopelagic
