amplicon	LWR	fract	aLWR	afract	taxopath	TAX1	TAX2	TAX3	TAX4	TAX5	TAX6
0c501e398738d5af479e6afc7d1ae46c8f2948eb;size=54	0.9645	0.9655	0.9989	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
45831165975081765ca2a6750051203832244c07;size=19	0.9622	0.9635	0.9962	0.9975	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
a9d8a283f3ddf59584db5c0a38a7cbc93a4fadea;size=35	0.9966	0.9982	0.9966	0.9982	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
af369bc544b02ec76e9d74cc308bcc700ed1add1;size=15238	0.944	0.9723	0.9605	0.9893	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
3210665e251364c72b76d0d07d1738571d7e9914;size=4920	0.6726	0.7074	0.92	0.9676	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
0832ac932d423f1980590361bc719a9ff27c64b4;size=37	0.9878	0.988	0.9878	0.988	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
838b246ae53a1610b99cf81efa00559f5d3a4d68;size=647	0.9787	0.9833	0.9788	0.9834	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
8aa95fc175eff147106661562d46445284d76c1e;size=175	0.8715	0.8769	0.8715	0.8769	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
ee3f0d48c0e73bc5d47ffa7b1fdc2b3876847c6e;size=176	0.6892	0.6895	0.9781	0.9786	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
810bbea1b7e5eee9d0ebb97aaf29be23a2baa748;size=7350	0.9932	0.9934	0.9932	0.9934	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
7c2b357d80fcedc1f7835f6be9661bbc82a64ae9;size=22	0.7948	0.8247	0.8338	0.8653	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
ff7edfdc32ff9386cc76e15bad98172239726740;size=29	0.9885	0.9956	0.9887	0.9958	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
1051d240e082ee3abd2d01387f55a3ef5ab2a1c9;size=42	0.4581	0.5202	0.7868	0.8934	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
33170bbca81e4bfff3aaaf6334dddb3b5975e1b3;size=25619	0.9748	0.9756	0.9748	0.9756	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
f12e3eccebec08bff86dcf2dee4e8fd2b19aac09;size=19	0.9681	0.9702	0.9871	0.9892	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
77ea7fbbaf84d50e262971c772f44aaa384a01f7;size=113	0.8751	0.8842	0.8751	0.8842	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
2286e84a01b77f3564ed55401cc9dd4c46ba8248;size=13	0.9965	0.9966	0.9965	0.9966	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
5faebba3f6aa9994ab89a8d3ee517c7204eef0eb;size=563	0.9054	0.9157	0.9054	0.9157	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
42540f5f947e7217ca8c1cbaedc6d9bd4521171b;size=177	0.9305	0.9305	0.9987	0.9987	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
35df8dcabfca2efb2dc547230f11a1467aa174af;size=24	0.71	0.7112	0.71	0.7113	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
13ce69f0e3f1e6aa2cd1e82e99ba97f625c02166;size=30	0.9327	0.9465	0.9742	0.9886	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
