Bin,Start,End,Range,"Value 1","Value 2","Value 3","Value 4","Value 5","Percentage 1","Percentage 2","Percentage 3","Percentage 4","Percentage 5","Accumulated Value 1","Accumulated Value 2","Accumulated Value 3","Accumulated Value 4","Accumulated Value 5","Accumulated Percentage 1","Accumulated Percentage 2","Accumulated Percentage 3","Accumulated Percentage 4","Accumulated Percentage 5"
0,0,0.04,"[0, 0.04)",0,118,187,280,245,0,0.101724,0.182084,0.41979,0.525751,0,118,187,280,245,0,0.101724,0.182084,0.41979,0.525751
1,0.04,0.08,"[0.04, 0.08)",0,101,156,142,138,0,0.087069,0.151899,0.212894,0.296137,0,219,343,422,383,0,0.188793,0.333982,0.632684,0.821888
2,0.08,0.12,"[0.08, 0.12)",2,92,132,120,59,0.00127551,0.0793103,0.12853,0.17991,0.126609,2,311,475,542,442,0.00127551,0.268103,0.462512,0.812594,0.948498
3,0.12,0.16,"[0.12, 0.16)",3,102,181,74,21,0.00191327,0.087931,0.176241,0.110945,0.0450644,5,413,656,616,463,0.00318878,0.356034,0.638754,0.923538,0.993562
4,0.16,0.2,"[0.16, 0.2)",4,114,137,34,3,0.00255102,0.0982759,0.133398,0.0509745,0.00643777,9,527,793,650,466,0.0057398,0.45431,0.772152,0.974513,1
5,0.2,0.24,"[0.2, 0.24)",29,125,111,17,0,0.0184949,0.107759,0.108082,0.0254873,0,38,652,904,667,466,0.0242347,0.562069,0.880234,1,1
6,0.24,0.28,"[0.24, 0.28)",36,106,48,0,0,0.0229592,0.0913793,0.0467381,0,0,74,758,952,667,466,0.0471939,0.653448,0.926972,1,1
7,0.28,0.32,"[0.28, 0.32)",43,121,38,0,0,0.0274235,0.10431,0.037001,0,0,117,879,990,667,466,0.0746173,0.757759,0.963973,1,1
8,0.32,0.36,"[0.32, 0.36)",99,99,37,0,0,0.0631378,0.0853448,0.0360273,0,0,216,978,1027,667,466,0.137755,0.843103,1,1,1
9,0.36,0.4,"[0.36, 0.4)",95,72,0,0,0,0.0605867,0.062069,0,0,0,311,1050,1027,667,466,0.198342,0.905172,1,1,1
10,0.4,0.44,"[0.4, 0.44)",83,54,0,0,0,0.0529337,0.0465517,0,0,0,394,1104,1027,667,466,0.251276,0.951724,1,1,1
11,0.44,0.48,"[0.44, 0.48)",86,28,0,0,0,0.0548469,0.0241379,0,0,0,480,1132,1027,667,466,0.306122,0.975862,1,1,1
12,0.48,0.52,"[0.48, 0.52)",89,28,0,0,0,0.0567602,0.0241379,0,0,0,569,1160,1027,667,466,0.362883,1,1,1,1
13,0.52,0.56,"[0.52, 0.56)",51,0,0,0,0,0.0325255,0,0,0,0,620,1160,1027,667,466,0.395408,1,1,1,1
14,0.56,0.6,"[0.56, 0.6)",29,0,0,0,0,0.0184949,0,0,0,0,649,1160,1027,667,466,0.413903,1,1,1,1
15,0.6,0.64,"[0.6, 0.64)",57,0,0,0,0,0.036352,0,0,0,0,706,1160,1027,667,466,0.450255,1,1,1,1
16,0.64,0.68,"[0.64, 0.68)",48,0,0,0,0,0.0306122,0,0,0,0,754,1160,1027,667,466,0.480867,1,1,1,1
17,0.68,0.72,"[0.68, 0.72)",45,0,0,0,0,0.028699,0,0,0,0,799,1160,1027,667,466,0.509566,1,1,1,1
18,0.72,0.76,"[0.72, 0.76)",52,0,0,0,0,0.0331633,0,0,0,0,851,1160,1027,667,466,0.54273,1,1,1,1
19,0.76,0.8,"[0.76, 0.8)",41,0,0,0,0,0.026148,0,0,0,0,892,1160,1027,667,466,0.568878,1,1,1,1
20,0.8,0.84,"[0.8, 0.84)",41,0,0,0,0,0.026148,0,0,0,0,933,1160,1027,667,466,0.595026,1,1,1,1
21,0.84,0.88,"[0.84, 0.88)",54,0,0,0,0,0.0344388,0,0,0,0,987,1160,1027,667,466,0.629464,1,1,1,1
22,0.88,0.92,"[0.88, 0.92)",65,0,0,0,0,0.0414541,0,0,0,0,1052,1160,1027,667,466,0.670918,1,1,1,1
23,0.92,0.96,"[0.92, 0.96)",70,0,0,0,0,0.0446429,0,0,0,0,1122,1160,1027,667,466,0.715561,1,1,1,1
24,0.96,1,"[0.96, 1)",446,0,0,0,0,0.284439,0,0,0,0,1568,1160,1027,667,466,1,1,1,1,1
