Sample,Pquery,Multiplicity,"LWR 1","LWR 2","LWR 3","LWR 4","LWR 5"
epa_result,0c501e398738d5af479e6afc7d1ae46c8f2948eb;size=54,1,0.384153,0.376573,0.2382,0,0
epa_result,45831165975081765ca2a6750051203832244c07;size=19,1,0.380645,0.378551,0.239489,0,0
epa_result,a9d8a283f3ddf59584db5c0a38a7cbc93a4fadea;size=35,1,0.998395,0,0,0,0
epa_result,af369bc544b02ec76e9d74cc308bcc700ed1add1;size=15238,1,0.29435,0.213254,0.190483,0.176102,0.0634459
epa_result,3210665e251364c72b76d0d07d1738571d7e9914;size=4920,1,0.210588,0.209198,0.19475,0.138351,0.0672621
epa_result,0832ac932d423f1980590361bc719a9ff27c64b4;size=37,1,0.336376,0.335569,0.32789,0,0
epa_result,838b246ae53a1610b99cf81efa00559f5d3a4d68;size=647,1,0.296167,0.242976,0.242653,0.10682,0.106679
epa_result,8aa95fc175eff147106661562d46445284d76c1e;size=175,1,0.546328,0.165714,0.140407,0.0547665,0.0440347
epa_result,ee3f0d48c0e73bc5d47ffa7b1fdc2b3876847c6e;size=176,1,0.551127,0.247008,0.157433,0.0220409,0.0219687
epa_result,810bbea1b7e5eee9d0ebb97aaf29be23a2baa748;size=7350,1,0.3362,0.335853,0.327808,0,0
epa_result,7c2b357d80fcedc1f7835f6be9661bbc82a64ae9;size=22,1,0.759608,0.0598262,0.0490087,0.0368171,0.0237471
epa_result,ff7edfdc32ff9386cc76e15bad98172239726740;size=29,1,0.291716,0.290639,0.205276,0.205224,0
epa_result,1051d240e082ee3abd2d01387f55a3ef5ab2a1c9;size=42,1,0.419573,0.113546,0.113349,0.0871181,0.0850289
epa_result,33170bbca81e4bfff3aaaf6334dddb3b5975e1b3;size=25619,1,0.415232,0.243421,0.243339,0.0493273,0.0478698
epa_result,f12e3eccebec08bff86dcf2dee4e8fd2b19aac09;size=19,1,0.251119,0.249777,0.230334,0.22958,0.0187855
epa_result,77ea7fbbaf84d50e262971c772f44aaa384a01f7;size=113,1,0.704068,0.130736,0.123378,0.0106121,0.010524
epa_result,2286e84a01b77f3564ed55401cc9dd4c46ba8248;size=13,1,0.339976,0.334019,0.325915,0,0
epa_result,5faebba3f6aa9994ab89a8d3ee517c7204eef0eb;size=563,1,0.497616,0.229735,0.190095,0.0288811,0.0286134
epa_result,42540f5f947e7217ca8c1cbaedc6d9bd4521171b;size=177,1,0.893724,0.0371137,0.0346647,0.0344972,0
epa_result,35df8dcabfca2efb2dc547230f11a1467aa174af;size=24,1,0.346453,0.19581,0.16226,0.133286,0.133013
epa_result,13ce69f0e3f1e6aa2cd1e82e99ba97f625c02166;size=30,1,0.34783,0.289061,0.255012,0.0365884,0.020921
epa_result,7324740720dd88e943fcbb1096fa6bb899eef4f3;size=12021,1,0.334787,0.333951,0.330388,0,0
epa_result,77ff1e9165671c360a6f583cc4843ba2ad49cf0c;size=28,1,0.247581,0.215518,0.215047,0.15752,0.157091
epa_result,5032a12cd7e032b9d9e07cb827e109490f913245;size=44,1,0.249369,0.248549,0.227821,0.226585,0.0168528
epa_result,f9a8308d9806972e528cf3a2507ba0139c036575;size=284,1,0.341615,0.334742,0.320439,0,0
epa_result,a9423f9b37784f63ae970f909c5fa55b92df03c1;size=19257,1,0.375576,0.317188,0.306576,0,0
